896020,德国,//item.jd.com/896020.html,150000,德亚牛奶京东自营旗舰店,99.00,150000,600,500
7038908,法国原装,//item.jd.com/7038908.html,30000,荷兰乳牛京东自营旗舰店,42.00,30000,20,20
1284568,澳大利亚 ,//item.jd.com/1284568.html,180000,德运（Devondale）京东自营旗舰店,69.00,180000,900,500
14815570834,安佳,https://ccc-x.jd.com/dsp/nc?ext=aHR0cDovL2l0ZW0uamQuY29tLzE0ODE1NTcwODM0Lmh0bWw&log=ZyjjOVDG5Wdvn9S0Psx_3CTAPCaNYvpV8SNFAMYrkBz-XnATgyaTAyA6XH8B5LAcGrCEGVj8y9WQ4ELbKHpdFHLuoggPMasbY4BlHZHWM1KIBrL46EEJJViRvAAxxcuFdj8K-yw82WDZMY1jDypcu4pQh3epFietQs0TgSE17xee2JpwdOHhe3sO-cvdxaCF_7LfkTIrSWdajWGlXIb4HHHvagE1fGlq9UDneUHrWHSzGq_yFYWxlVqmbV_iuUySzpGDWtdJG8iD_vklur3gHzTV6JzT-Iz8FioPkAGgL5ZC8QD-xpOsN9KNvS0MKHvNBiuaZOUiC4yodwuTZlYx-qBiuKPWWaiUIc5Y2zceZ5EvJNuelDqCWwHisGqw940cOO8OZ1ho24APB8sSpITG5qfF1v09E5yOgkZ8Gy1gpQoJwrR9utb-_9Xpm4mpLbbG&v=404,24000,,89.00,24000,30,50
1533902,纽仕兰牧场 Theland 3.5g蛋白质 全脂,//item.jd.com/1533902.html,280000,纽仕兰（Theland）京东自营旗舰店,69.00,280000,900,500
1307900,德国 ,//item.jd.com/1307900.html,480000,爱氏晨曦arla京东自营旗舰店,89.00,470000,3100,2100
896024,德国,//item.jd.com/896024.html,410000,德亚牛奶京东自营旗舰店,75.00,410000,1900,1100
627718,德国DMK,//item.jd.com/627718.html,1090000,欧德堡牛奶京东自营旗舰店,119.00,1070000,9200,6500
1070841,新西兰原装,//item.jd.com/1070841.html,330000,安佳牛奶京东自营旗舰店,139.00,320000,1200,1000
4599133,波兰原装,//item.jd.com/4599133.html,130000,兰雀Laciate牛奶京东自营旗舰店,69.90,130000,100,200
1385736,德国DMK,//item.jd.com/1385736.html,1620000,欧德堡牛奶京东自营旗舰店,69.00,1590000,14000,8700
1857014,德国 ,//item.jd.com/1857014.html,640000,爱氏晨曦arla京东自营旗舰店,49.00,630000,3300,1800
2149286,爱尔兰,//item.jd.com/2149286.html,55000,艾恩摩尔京东自营旗舰店,65.00,55000,200,100
1127466,澳大利亚 ,//item.jd.com/1127466.html,530000,德运（Devondale）京东自营旗舰店,89.00,530000,2400,1600
2816155,德国DMK,//item.jd.com/2816155.html,250000,欧德堡牛奶京东自营旗舰店,79.00,240000,1900,1500
2858178,荷兰原装,//item.jd.com/2858178.html,51000,荷高（Globemilk）京东自营旗舰店,69.00,51000,100,100
14815678163,安佳,//item.jd.com/14815678163.html,19000,安佳官方旗舰店,139.00,19000,30,40
4599135,波兰原装,//item.jd.com/4599135.html,46000,兰雀Laciate牛奶京东自营旗舰店,29.90,45000,100,80
1796149,新西兰原装,//item.jd.com/1796149.html,44000,安佳牛奶京东自营旗舰店,99.00,44000,200,100
2858180,荷兰原装,//item.jd.com/2858180.html,54000,荷高（Globemilk）京东自营旗舰店,49.00,54000,100,100
1284576,澳大利亚 ,//item.jd.com/1284576.html,71000,德运（Devondale）京东自营旗舰店,79.00,70000,300,200
1857008,德国 ,//item.jd.com/1857008.html,120000,爱氏晨曦arla京东自营旗舰店,85.00,120000,800,600
1133843,澳大利亚 ,//item.jd.com/1133843.html,150000,德运（Devondale）京东自营旗舰店,89.00,140000,1100,700
2627831,纽仕兰牧场 Theland 3.5g蛋白质 部分脱脂,//item.jd.com/2627831.html,85000,纽仕兰（Theland）京东自营旗舰店,69.00,85000,100,100
1546827,新西兰原装,//item.jd.com/1546827.html,110000,安佳牛奶京东自营旗舰店,99.00,100000,200,100
2118943,澳大利亚 ,//item.jd.com/2118943.html,230000,,89.00,230000,700,500
1803729,德国,//item.jd.com/1803729.html,86000,甘蒂牧场京东自营旗舰店,69.00,85000,200,100
1431626,新西兰,//item.jd.com/1431626.html,270000,纽麦福京东自营旗舰店,69.00,270000,1500,800
1070843,新西兰原装,//item.jd.com/1070843.html,790000,安佳牛奶京东自营旗舰店,89.00,790000,3700,2400
2498102,波兰 妙可（Mlekovita）原装,//item.jd.com/2498102.html,61000,,79.00,61000,100,100
